iter	Passed	Remaining
0	182	18063
1	193	9481
2	206	6662
3	218	5245
4	226	4298
5	237	3723
6	249	3308
7	259	2982
8	276	2800
9	290	2614
10	299	2424
11	311	2285
12	320	2146
13	336	2068
14	350	1986
15	363	1909
16	375	1834
17	389	1775
18	403	1719
19	415	1663
20	428	1613
21	445	1579
22	458	1534
23	470	1491
24	483	1450
25	495	1410
26	506	1368
27	518	1332
28	529	1297
29	540	1261
30	549	1222
31	561	1192
32	572	1161
33	584	1134
34	596	1107
35	608	1081
36	618	1053
37	630	1029
38	642	1005
39	653	979
40	667	960
41	681	941
42	693	918
43	703	895
44	714	873
45	726	852
46	733	827
47	744	806
48	756	787
49	768	768
50	779	749
51	791	730
52	803	712
53	814	693
54	826	676
55	850	668
56	869	656
57	884	640
58	902	627
59	925	616
60	939	600
61	955	585
62	967	568
63	979	550
64	989	533
65	1002	516
66	1013	499
67	1024	481
68	1035	465
69	1047	449
70	1058	432
71	1070	416
72	1086	401
73	1098	385
74	1109	369
75	1120	353
76	1132	338
77	1143	322
78	1154	306
79	1166	291
80	1180	276
81	1193	261
82	1205	246
83	1218	232
84	1231	217
85	1244	202
86	1261	188
87	1273	173
88	1286	159
89	1300	144
90	1314	129
91	1329	115
92	1343	101
93	1354	86
94	1368	72
95	1382	57
96	1395	43
97	1408	28
98	1419	14
99	1431	0
